time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-08-30T03:42:11.290Z,37.4086667,-119.0711667,17.82,1.24,md,21,116,0.09231,0.06,nc,nc73773340,2022-08-30T06:46:12.123Z,"27km SSW of Mammoth Lakes, CA",earthquake,0.35,0.85,0.163,17,reviewed,nc,nc
2022-08-30T03:41:45.439Z,14.1732,-93.4301,10,4.2,mb,96,189,2.44,1.05,us,us7000i3l8,2022-08-30T04:06:06.040Z,"124 km WSW of Puerto Madero, Mexico",earthquake,7.72,1.974,0.049,116,reviewed,us,us
2022-08-30T03:24:36.636Z,61.2696,-151.3269,66.5,1.3,ml,,,,0.5,ak,ak022b49zibz,2022-08-30T03:27:02.035Z,"19 km NW of Beluga, Alaska",earthquake,,0.7,,,automatic,ak,ak
2022-08-30T03:21:03.763Z,61.7096,-146.6723,31.4,1.2,ml,,,,0.51,ak,ak022b49ysnc,2022-08-30T03:22:48.952Z,"31 km S of Nelchina, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-08-30T03:11:17.170Z,34.0001667,-117.2126667,4.5,1.13,ml,17,91,0.2419,0.31,ci,ci40334200,2022-08-30T03:14:51.390Z,"7km SSW of Redlands, CA",earthquake,0.78,31.61,0.149,28,automatic,ci,ci
2022-08-30T03:11:11.640Z,34.0214996,-117.1718369,15.03,1.5,ml,58,34,0.1045,0.17,ci,ci40334192,2022-08-30T03:22:15.790Z,"4km SSE of Redlands, CA",earthquake,0.21,0.45,0.317,6,automatic,ci,ci
2022-08-30T03:05:48.672Z,61.4539,-146.6156,24.9,1.7,ml,,,,0.51,ak,ak022b49vgnn,2022-08-30T03:07:23.467Z,"38 km NNW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-08-30T03:04:45.265Z,63.4342,-147.236,60.7,1.1,ml,,,,0.57,ak,ak022b49v8nv,2022-08-30T03:07:07.275Z,"85 km E of Cantwell, Alaska",earthquake,,1.2,,,automatic,ak,ak
2022-08-30T03:01:37.790Z,35.6441667,-118.3166667,6.85,1.48,ml,20,77,0.05836,0.14,ci,ci40334184,2022-08-30T03:05:12.324Z,"14km ESE of Wofford Heights, CA",earthquake,0.32,0.48,0.206,21,automatic,ci,ci
2022-08-30T02:56:36.695Z,31.65862816,-104.2497052,7.828295898,2,ml,14,86,0.01834813185,0.2,tx,tx2022qyob,2022-08-30T06:24:28.591Z,"57 km NW of Toyah, Texas",earthquake,0.8293094728,1.031512335,0.1,12,reviewed,tx,tx
2022-08-30T02:46:15.680Z,18.2043333333333,-66.2238333333333,10.36,3.25,md,18,79,,0.18,pr,pr71368683,2022-08-30T04:02:14.055Z,"1 km S of Comerío, Puerto Rico",earthquake,0.3,0.54,0.00576422335167326,6,reviewed,pr,pr
2022-08-30T02:46:04.079Z,38.1299,-117.9864,0,1.4,ml,16,130.38,0.023,0.3163,nn,nn00846104,2022-08-30T02:49:38.883Z,"30 km SSE of Mina, Nevada",earthquake,,2.2,0.85,9,automatic,nn,nn
2022-08-30T02:34:05.116Z,57.9167,-155.9005,8.7,1.2,ml,,,,0.58,ak,ak022b49g5gf,2022-08-30T02:36:13.184Z,"93 km ESE of Egegik, Alaska",earthquake,,1.6,,,automatic,ak,ak
2022-08-30T01:53:21.212Z,-22.7336,-66.1416,270.207,4.2,mb,30,94,1.892,0.89,us,us7000i3kk,2022-08-30T03:11:25.040Z,"45 km W of Abra Pampa, Argentina",earthquake,7.52,12.137,0.199,7,reviewed,us,us
2022-08-30T01:52:05.023Z,61.4712,-151.4745,73.8,1.6,ml,,,,0.58,ak,ak022b48ykqg,2022-08-30T01:55:23.800Z,"42 km NNW of Beluga, Alaska",earthquake,,0.9,,,automatic,ak,ak
2022-08-30T01:50:55.690Z,19.2159996032715,-155.498672485352,36.3400001525879,2.61999989,md,45,75,,0.0900000036,hv,hv73125627,2022-08-30T01:56:25.730Z,"2 km NW of Pāhala, Hawaii",earthquake,0.54,0.910000026,1.38,33,automatic,hv,hv
2022-08-30T01:40:11.249Z,60.3394,-143.2099,5.4,1.2,ml,,,,1.38,ak,ak022b48w0iv,2022-08-30T01:43:08.428Z,"122 km S of McCarthy, Alaska",earthquake,,0.8,,,automatic,ak,ak
2022-08-30T01:25:30.657Z,38.1973,-117.8624,8,1.1,ml,9,184.82,0.096,0.095,nn,nn00846100,2022-08-30T01:28:47.458Z,"30 km SE of Mina, Nevada",earthquake,,1.1,0.33,5,automatic,nn,nn
2022-08-30T01:21:04.835Z,59.2135,-152.7058,73.7,2.1,ml,,,,0.39,ak,ak022b48rxir,2022-08-30T01:22:30.276Z,"47 km WSW of Nanwalek, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-08-30T01:17:30.476Z,59.2078,-152.7164,66,1.9,ml,,,,0.25,ak,ak022b48r4mv,2022-08-30T01:19:17.780Z,"48 km WSW of Nanwalek, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-08-30T01:16:25.020Z,41.2665,-122.2086667,6.45,1.04,md,14,112,0.0658,0.11,nc,nc73773310,2022-08-30T06:25:11.001Z,"6km WNW of McCloud, CA",earthquake,0.27,0.84,0.319,9,reviewed,nc,nc
